user_id,segment,total_value,number_of_bookings,average_booking_value
716801,Free Hotel Meal,2025.55,2,1012.775
651269,Free Hotel Meal,4402.51,4,1100.6275
591888,Free Hotel Meal,2093.39,5,418.678
485393,Free Hotel Meal,4030.19,1,4030.19
120851,Free Hotel Meal,15551.310000000001,4,3887.8275000000003
532500,Free Hotel Meal,10306.66,4,2576.665
555030,Free Hotel Meal,3439.52,1,3439.52
217114,Free Hotel Meal,14864.8,1,14864.8
528411,Free Hotel Meal,1573.1,4,393.275
565280,Free Hotel Meal,3402.5,2,1701.25
610338,Free Hotel Meal,4252.75,2,2126.375
516132,Free Hotel Meal,1092.79,3,364.2633333333333
589868,Free Hotel Meal,1934.5500000000002,3,644.85
518191,Free Hotel Meal,798.37,3,266.12333333333333
516144,Free Hotel Meal,2089.7400000000002,4,522.4350000000001
645168,Free Hotel Meal,11801.71,3,3933.903333333333
555058,Free Hotel Meal,1591.46,2,795.73
217136,Free Hotel Meal,37759.93,3,12586.643333333333
542767,Free Hotel Meal,2523.74,2,1261.87
581679,Free Hotel Meal,9857.0,1,9857.0
561201,Free Hotel Meal,4504.46,3,1501.4866666666667
501817,Free Hotel Meal,4486.95,4,1121.7375
577598,Free Hotel Meal,19645.239999999998,4,4911.3099999999995
467007,Free Hotel Meal,52795.36000000001,5,10559.072000000002
532544,Free Hotel Meal,2115.7,1,2115.7
546882,Free Hotel Meal,3654.42,2,1827.21
524358,Free Hotel Meal,9402.6,3,3134.2000000000003
667718,Free Hotel Meal,12557.52,3,4185.84
546888,Free Hotel Meal,13184.119999999999,2,6592.0599999999995
542795,Free Hotel Meal,1185.78,4,296.445
536652,Free Hotel Meal,997.08,4,249.27
534604,Free Hotel Meal,2201.54,1,2201.54
481358,Free Hotel Meal,107.27,2,53.635
536659,Free Hotel Meal,2886.46,6,481.07666666666665
559194,Free Hotel Meal,1205.8000000000002,2,602.9000000000001
553054,Free Hotel Meal,2358.48,1,2358.48
536672,Free Hotel Meal,6630.79,5,1326.158
491617,Free Hotel Meal,7328.84,5,1465.768
581729,Free Hotel Meal,697.66,1,697.66
512103,Free Hotel Meal,25439.38,3,8479.793333333333
528490,Free Hotel Meal,4586.13,4,1146.5325
551023,Free Hotel Meal,4331.89,4,1082.9725
516211,Free Hotel Meal,25186.850000000002,4,6296.712500000001
528500,Free Hotel Meal,2324.62,1,2324.62
510070,Free Hotel Meal,2795.65,4,698.9125
